,group,names,scores,logfoldchanges,pvals,pvals_adj
0,COVID,IFI44L,15.574801,3.681002,1.1068734028193652e-44,3.698838850201472e-40
1,COVID,LY6E,11.027477,3.2523859,1.2819073902060688e-25,2.14187496292581e-21
2,COVID,ISG15,10.5508585,4.454754,1.1513910951421563e-23,1.2825345408788478e-19
3,COVID,XAF1,10.491099,2.6149135,4.5865564553790406e-23,3.831723926735035e-19
4,COVID,IFI27,9.991843,5.824849,2.6164022348039238e-21,1.7486462696088546e-17
5,COVID,IFI6,9.358452,3.4642797,2.1623141323540668e-19,1.2043008560145975e-15
6,COVID,AREG,9.318371,5.3937864,4.944288034895767e-19,2.360332475173026e-15
7,COVID,IFI44,8.833672,2.7991338,1.8279833445606942e-17,7.63571492814809e-14
8,COVID,RGS1,8.190941,2.3448997,3.0403078499395503e-15,1.128866304682555e-11
9,COVID,ZFP36,7.9676323,1.0182053,1.0449349621441405e-13,3.174417420906431e-10
10,COVID,SOCS3,7.728671,2.2598462,6.968263135657963e-14,2.3285844920428217e-10
11,COVID,CXCR4,7.5597334,1.3348789,8.153466303410328e-13,2.0958798727774074e-09
12,COVID,FOS,7.549982,1.5455467,6.501319628036522e-13,1.8104549834174704e-09
13,COVID,HBA2,7.3965836,1.6878506,1.0310530779044913e-12,2.296980046955626e-09
14,COVID,RGS2,7.3353868,1.5726297,2.1129228905720077e-12,4.412971514640299e-09
15,COVID,IRF4,7.0317717,1.433301,1.5508123110615227e-11,3.0484408822789946e-08
16,COVID,PIM3,6.93908,1.643851,2.009535283563712e-11,3.673613250255807e-08
17,COVID,MX1,6.8633437,1.4966305,3.836842945002129e-11,6.249364353613513e-08
18,COVID,RASD1,6.8632874,2.2360437,2.0887168732938425e-11,3.673613250255807e-08
19,COVID,PLAUR,6.7730365,2.0584667,3.959685133719146e-11,6.249364353613513e-08
20,COVID,DDIT4,6.680933,1.4224501,1.0955724401490664e-10,1.5254476763525562e-07
21,COVID,PIM2,6.662499,1.8171561,9.705883885888505e-11,1.4101805296292876e-07
22,COVID,IFITM1,6.6111975,27.709595,1.2355340821637422e-10,1.6515136969466308e-07
23,COVID,SEMA7A,6.462613,2.2471986,2.5127781903311736e-10,3.229596491780647e-07
24,COVID,HLA-DQA2,6.154653,2.0837243,1.6605769756742011e-09,1.913500027451889e-06
25,COVID,GPR183,6.1386647,1.0861764,2.975958548091006e-09,3.3149202267185716e-06
26,COVID,HBA1,6.00678,1.3826194,4.975799473581353e-09,5.038675485111154e-06
27,COVID,IFIT5,5.994289,3.647197,3.841702743885042e-09,4.141231632013111e-06
28,COVID,EPSTI1,5.990104,1.9977345,4.2807758399356125e-09,4.470333945097761e-06
29,COVID,SOCS1,5.9436393,27.256617,6.118651293980769e-09,6.013734420322217e-06
30,COVID,FOSB,5.8799877,1.8144033,8.72936584396445e-09,7.88403292993946e-06
31,COVID,RSAD2,5.850687,4.4198823,9.164185362214915e-09,8.058936374977258e-06
32,COVID,BCL2L11,5.8240776,2.2148676,1.0351260766696016e-08,8.86943797540207e-06
33,COVID,HLA-A,5.707029,0.4556975,3.8718313896572874e-08,3.1305631098190965e-05
34,COVID,HLA-B,5.6543155,0.27614492,3.667153066909017e-08,3.063631350922466e-05
35,COVID,CBX4,5.6464095,1.0825733,3.934633588066015e-08,3.1305631098190965e-05
36,COVID,SOX4,5.629814,1.1598867,4.282153985371354e-08,3.327831156491966e-05
37,COVID,PLSCR1,5.5521226,1.4579947,5.609987183547669e-08,4.2606577661957377e-05
38,COVID,NR4A3,5.494656,3.1290805,6.067396716766418e-08,4.5056488018707426e-05
39,COVID,RUFY4,5.4587054,2.1728535,7.683939350563546e-08,5.582047853864827e-05
40,COVID,EIF2AK2,5.414457,1.4293393,1.138532620129963e-07,7.764560115690403e-05
41,COVID,RPL21,5.404241,0.32369637,1.4092214056804732e-07,9.418390342724874e-05
42,COVID,MT-ND2,5.3587666,0.16778061,1.5536394982035457e-07,9.795843605937337e-05
43,COVID,MT-CO2,5.3569016,0.15967855,1.5219370464774918e-07,9.78757928956791e-05
44,COVID,RPL39,5.3150506,0.8590544,2.4244799446861704e-07,0.0001421383268624171
45,COVID,TSC22D3,5.1479073,1.3540927,4.5048539844579623e-07,0.0002551503484722572
46,COVID,IFITM2,5.1141305,1.000584,5.858949974074134e-07,0.00032631421880605885
47,COVID,JUND,5.0654426,0.6586627,8.43110256078577e-07,0.0004268820519299668
48,COVID,HERC5,5.058657,2.0788453,5.9785614041828e-07,0.0003275173548255354
49,COVID,PARP9,5.0447316,1.7529316,6.801020320938298e-07,0.00036656402591095984
50,COVID,SLC1A4,5.0122414,1.8625814,7.744481929435643e-07,0.00040278201890107593
51,COVID,B2M,5.010386,0.15493608,8.655354908966806e-07,0.00043169551491484146
52,COVID,HLA-C,4.9835205,0.45165703,1.1529335531013452e-06,0.0005503940077712522
53,COVID,MAP3K8,4.9712124,1.0578688,1.1325091736574715e-06,0.0005484791167552423
54,COVID,HLA-J,4.94594,1.522969,1.1165164557910999e-06,0.0005484791167552423
55,COVID,AC105402.3,4.9183517,3.7188582,1.1696017413532295e-06,0.0005504870618422658
56,COVID,TRIB1,4.8783083,2.2826414,1.4190231199971011e-06,0.0006586041055686545
57,COVID,SERPINB9,4.8501534,1.3752347,1.8489976193877314e-06,0.0008238393792943976
