,group,names,scores,logfoldchanges,pvals,pvals_adj
0,COVID,MTRNR2L12,25.532001,3.5564506,7.252707605661024e-76,6.757202622042263e-72
1,COVID,RACK1,22.554054,3.0538566,2.3768764405260427e-77,2.7681103026366294e-73
2,COVID,ATP5F1E,21.505981,3.079147,5.921261876401535e-70,3.9405151892898443e-66
3,COVID,ATP5MC2,20.039087,2.8439069,6.688725160754062e-60,2.6362601472588496e-56
4,COVID,ATP5MG,19.733957,2.8479931,6.79098440818869e-60,2.6362601472588496e-56
5,COVID,JUND,18.70787,2.1621926,1.1695116638923565e-59,4.190810103904733e-56
6,COVID,IRF4,17.439484,3.3244877,6.791527387605345e-43,1.3755500514095974e-39
7,COVID,PIM3,17.24121,3.3656533,1.3924355212782986e-41,2.494816012431856e-38
8,COVID,ELOB,16.410105,2.6260831,2.3727969204425184e-42,4.421374869675771e-39
9,COVID,ATP5MPL,15.546936,2.5769522,4.817525553034789e-39,7.48065367875242e-36
10,COVID,HSP90AB1,15.473625,1.8113593,3.302645458514782e-44,6.993201638156936e-41
11,COVID,CBX4,15.417504,3.1535523,5.112860217361091e-35,5.292832897012201e-32
12,COVID,ATP5F1D,15.302812,2.5468173,6.141884526831247e-38,8.174672822797337e-35
13,COVID,RNMT,15.260617,2.7367022,3.891194891721209e-37,4.899119536106507e-34
14,COVID,SELENOS,15.220543,2.581587,2.2856211743034863e-38,3.2264659631440484e-35
15,COVID,RAB11FIP1,14.965075,2.2023838,1.9984915491163367e-39,3.2102665628977736e-36
16,COVID,ATP5MF,14.95444,2.5631733,3.2966918638134433e-36,3.839327344597136e-33
17,COVID,DDX21,14.928549,2.3619924,4.197095994796325e-38,5.750515288870353e-35
18,COVID,DDX24,14.626761,2.0255032,1.1432496914955609e-38,1.7179723751170715e-35
19,COVID,SELENOH,14.590571,2.4945412,1.8041052171996274e-35,1.954475289256452e-32
20,COVID,CCNL1,14.526272,1.8116276,1.1903324229388168e-39,1.9803730567922085e-36
21,COVID,MX1,14.221355,2.721669,2.1763716001119007e-33,2.0690631555023015e-30
22,COVID,UBALD2,14.004831,2.6512775,2.9908366316939324e-32,2.533184248196912e-29
23,COVID,ATP5ME,13.965438,2.4952857,1.4859373055634678e-32,1.3060547819314825e-29
24,COVID,PRRC2C,13.6951475,1.7773801,1.209194545022783e-35,1.341169492508127e-32
25,COVID,CCDC88A,13.693072,1.6786029,2.9421340084982473e-36,3.585937835910682e-33
26,COVID,EPC1,13.57819,2.0484152,8.70423970127295e-34,8.447464630085397e-31
27,COVID,MAP3K8,13.406667,2.5758982,2.8562176517452126e-30,1.9566771042485145e-27
28,COVID,ATP5MC3,13.373254,2.3329284,2.3459247026007623e-31,1.7626218765476438e-28
29,COVID,ATP5IF1,13.364125,2.4096391,8.221413882127971e-31,5.984161629453897e-28
30,COVID,IFI44L,13.347131,4.5644126,3.886630840906827e-27,2.155414417771472e-24
31,COVID,SOX4,13.21619,2.10891,4.6684686606073814e-32,3.796849079796375e-29
32,COVID,STK17B,13.155593,1.997219,5.214827968987071e-32,4.1174160357168434e-29
33,COVID,NOP53,13.063428,2.367512,6.846915929207034e-30,4.6225613282055136e-27
34,COVID,EIF2AK2,13.058113,3.7174144,5.39494515310904e-27,2.956683823675665e-24
35,COVID,PNN,12.99149,1.895915,1.423990824044253e-31,1.0874621073324176e-28
36,COVID,RBM39,12.983994,1.5969417,5.6507371322050545e-33,5.161449775816476e-30
37,COVID,ATP5MD,12.938795,2.325822,1.5403282055801286e-29,1.0250664161249244e-26
38,COVID,ANKRD11,12.913755,1.7563252,4.7273151002101524e-32,3.796849079796375e-29
39,COVID,ATP5F1A,12.884544,2.2914362,1.8608296685811282e-29,1.2209139335377927e-26
40,COVID,ARL4C,12.788247,1.9261789,1.0276820484009905e-30,7.253566748895718e-28
41,COVID,TRIR,12.627082,2.2574985,1.3850379265133684e-28,8.379299580350487e-26
42,COVID,SELENOF,12.606695,2.161918,5.301656532025585e-29,3.337464430917295e-26
43,COVID,PPP1R15A,12.587092,1.6597095,3.599284691441545e-31,2.6614139375573485e-28
