,group,names,scores,logfoldchanges,pvals,pvals_adj
0,COVID,IFI44L,10.65604,5.9970922,4.275266898541276e-18,1.1270031071244657e-13
1,COVID,STAT1,7.8436685,2.8333342,7.645484452618111e-13,6.909082325388111e-09
2,COVID,MX1,7.758431,2.646352,7.862845482403677e-13,6.909082325388111e-09
3,COVID,IFI27,7.458729,30.651997,4.980012485047324e-11,3.281952727958313e-07
4,COVID,XAF1,6.744391,2.9626083,4.419916867430219e-10,2.33026857084656e-06
5,COVID,ISG15,6.053719,6.28389,2.9302876965203683e-08,8.582812663108159e-05
6,COVID,IFI44,5.9093556,5.126235,5.117618523362048e-08,0.00013490554189434694
7,COVID,MT-RNR1,5.814901,0.45148128,2.476831482120707e-08,8.161469337522993e-05
8,COVID,HLA-A,5.1620607,1.1434969,5.46632612042921e-07,0.001309980207823949
9,COVID,EIF2AK2,4.9628453,2.4724588,2.1294925947458677e-06,0.004318119560776602
10,COVID,OAS2,4.7433248,2.116013,5.055926707218654e-06,0.007839957878175936
11,COVID,TAP1,4.6014075,2.1459837,9.253084126544114e-06,0.012383658941129205
12,COVID,HLA-B,4.4588947,0.34422183,1.3001380384829847e-05,0.014901277753239113
13,COVID,SELL,4.4387636,0.96769136,1.4431661784551014e-05,0.015851376512606218
14,COVID,MTRNR2L1,4.3493094,1.5881544,2.384965112318345e-05,0.022741608683351844
15,COVID,ADAR,4.3116918,1.2787281,2.606105168443074e-05,0.023689495981147543
16,COVID,PARP14,4.2411137,2.4373827,4.2826981898590314e-05,0.03225605913796398
17,COVID,EPSTI1,4.2368135,3.7138197,4.936561385615004e-05,0.03424544597005187
18,COVID,MCL1,4.133944,1.3420644,5.418947147925446e-05,0.03571221644161567
19,COVID,TFRC,3.986506,1.7359198,0.00010566742974636109,0.060554328598778795
20,COVID,RNA18S5,3.9176211,0.26532513,0.0001224384017857616,0.06867231296754174
21,COVID,RNA28S5,3.895685,0.26222208,0.00013494751261837305,0.07411148708610275
22,COVID,IFITM2,3.8255289,2.0969052,0.00019933723965950603,0.10105248028200459
23,COVID,MX2,3.7466917,2.0896006,0.00026534222386698475,0.12490511363138546
24,COVID,SAMD9L,3.6459572,2.0903409,0.00038224766798826816,0.16794051293064563
25,COVID,IFIH1,3.6139185,2.7758915,0.0004488914410385939,0.17869173802645621
26,COVID,HERPUD1,3.5951293,1.0357407,0.00041349260567053077,0.17580771900130424
27,COVID,SOX4,3.572838,1.3677442,0.0004609475431811776,0.17869173802645621
28,COVID,GLUL,3.4119623,1.575503,0.0008308858958899719,0.2503456831634418
29,COVID,RAB6A,3.4110637,2.4342601,0.0008879290286654793,0.2503456831634418
30,COVID,TFEC,3.404853,2.2395003,0.0008873077692880679,0.2503456831634418
31,COVID,IL6ST,3.3988383,1.8725641,0.0008870007625313877,0.2503456831634418
32,COVID,TRIM22,3.3870883,1.1630384,0.0008701884705666768,0.2503456831634418
33,COVID,IGHA1,3.3688655,4.3425293,0.0010768868568100246,0.2810674696274164
34,COVID,HLA-C,3.359148,0.6984919,0.000916414793107961,0.25164177459498915
35,COVID,BLMH,3.3406215,2.5005655,0.0011210255193693655,0.2852638292386133
36,COVID,PIM1,3.3392243,2.679624,0.0011352739778978584,0.2852638292386133
37,COVID,DTX3L,3.3228273,2.3357236,0.0011783590236752247,0.29304454927455276
38,COVID,TRIP12,3.2927516,1.14606,0.0011981873420613125,0.2951908086362454
39,COVID,KDM5D,3.2827268,1.7139956,0.0012953718325725914,0.31042997162223707
40,COVID,RUFY4,3.1998532,2.8761196,0.0018020641036910643,0.37404891210551294
41,COVID,ARHGEF3,3.1932693,2.2489512,0.001780353783386134,0.37404891210551294
42,COVID,HLA-DRB1,3.162602,0.55065167,0.0017725610417951268,0.37404891210551294
43,COVID,CLTC,3.1568427,1.1190124,0.0018823120445080437,0.38464827756028325
44,COVID,ATP8B2,3.15225,2.0211802,0.0020031757710190913,0.40004330681692624
45,COVID,STAT3,3.0823443,1.3357382,0.0024238815852140193,0.4621490481951767
46,COVID,RSAD2,3.0374603,4.510667,0.00307484503790273,0.531976740644512
47,COVID,NOP2,3.0176616,2.3392043,0.0031218659106116596,0.534386410841779
48,COVID,TYMP,3.0076244,1.5467119,0.0030876082591180277,0.531976740644512
